,Age,Country,EdLevel,YearsCodePro,RemoteWork,Salary
25957,25-34 years old,Sweden,Master’s degree,4.0,Remote,76184.0
25974,25-34 years old,Germany,Less than a Bachelors,3.0,Hybrid,46923.0
25981,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,Remote,82922.0
25989,35-44 years old,Germany,Master’s degree,15.0,Hybrid,92780.0
26006,25-34 years old,India,Bachelor’s degree,10.0,Remote,38692.0
26008,25-34 years old,India,Less than a Bachelors,3.0,Remote,15480.0
26018,25-34 years old,Czech Republic,Less than a Bachelors,4.0,Remote,42612.0
26024,18-24 years old,Netherlands,Bachelor’s degree,2.0,Hybrid,63986.0
26025,25-34 years old,"Iran, Islamic Republic of...",Bachelor’s degree,12.0,Remote,70920.0
26027,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,20.0,Hybrid,106793.0
26032,35-44 years old,Israel,Bachelor’s degree,18.0,Hybrid,143484.0
26033,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,11.0,Remote,159562.0
26045,25-34 years old,France,Master’s degree,10.0,Hybrid,90647.0
26046,25-34 years old,Italy,Less than a Bachelors,10.0,Hybrid,37325.0
26047,25-34 years old,Poland,Master’s degree,6.0,Remote,74463.0
26059,25-34 years old,Denmark,Less than a Bachelors,5.0,Hybrid,83460.0
26062,25-34 years old,Greece,Bachelor’s degree,3.0,Hybrid,42657.0
26065,25-34 years old,Norway,Master’s degree,11.0,Hybrid,99557.0
26072,25-34 years old,France,Bachelor’s degree,4.0,Hybrid,53322.0
26073,25-34 years old,Israel,Bachelor’s degree,0.5,Hybrid,93264.0
26075,25-34 years old,United States of America,Master’s degree,1.0,Person,145000.0
26095,25-34 years old,Italy,Less than a Bachelors,6.0,Remote,35192.0
26104,25-34 years old,Germany,Master’s degree,9.0,Remote,90647.0
26106,25-34 years old,Poland,Bachelor’s degree,5.0,Hybrid,51204.0
26110,25-34 years old,United States of America,Post grad,7.0,Hybrid,55000.0
26131,25-34 years old,India,Master’s degree,7.0,Person,13152.0
26135,Over 45,Finland,Master’s degree,37.0,Hybrid,63984.0
26144,35-44 years old,Norway,Bachelor’s degree,15.0,Hybrid,88150.0
26145,25-34 years old,Sweden,Master’s degree,8.0,Hybrid,46320.0
26146,18-24 years old,Sweden,Less than a Bachelors,3.0,Hybrid,42660.0
26151,25-34 years old,Belgium,Master’s degree,2.0,Hybrid,31224.0
26152,35-44 years old,United States of America,Less than a Bachelors,10.0,Remote,136000.0
26153,25-34 years old,Belgium,Bachelor’s degree,2.0,Person,25596.0
26159,18-24 years old,Poland,Master’s degree,6.0,Remote,58272.0
26164,Over 45,United Kingdom of Great Britain and Northern Ireland,Post grad,27.0,Hybrid,119357.0
26165,25-34 years old,Germany,Bachelor’s degree,6.0,Hybrid,90647.0
26168,25-34 years old,Turkey,Bachelor’s degree,1.0,Remote,60000.0
26178,18-24 years old,Spain,Master’s degree,3.0,Remote,58654.0
26186,25-34 years old,France,Master’s degree,3.0,Remote,29436.0
26199,25-34 years old,Poland,Bachelor’s degree,3.0,Remote,93792.0
26205,35-44 years old,Germany,Less than a Bachelors,6.0,Hybrid,44796.0
26207,25-34 years old,Germany,Master’s degree,7.0,Hybrid,79983.0
26217,25-34 years old,Israel,Bachelor’s degree,7.0,Hybrid,162916.0
26218,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,Hybrid,79153.0
26221,Under 18 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,0.5,Remote,22615.0
26232,25-34 years old,Netherlands,Bachelor’s degree,5.0,Remote,74651.0
26233,25-34 years old,Italy,Master’s degree,4.0,Hybrid,40525.0
26236,25-34 years old,Netherlands,Bachelor’s degree,4.0,Hybrid,101312.0
26237,Over 45,Brazil,Less than a Bachelors,3.0,Remote,10716.0
26238,25-34 years old,Italy,Master’s degree,10.0,Remote,61853.0
26245,18-24 years old,"Iran, Islamic Republic of...",Less than a Bachelors,6.0,Person,56736.0
26246,Over 45,Italy,Master’s degree,25.0,Hybrid,85315.0
26247,25-34 years old,Spain,Master’s degree,9.0,Hybrid,37325.0
26252,Over 45,Portugal,Master’s degree,22.0,Remote,53322.0
26257,35-44 years old,United States of America,Less than a Bachelors,18.0,Remote,166850.0
26261,35-44 years old,Australia,Bachelor’s degree,14.0,Hybrid,141542.0
26265,25-34 years old,Israel,Less than a Bachelors,2.0,Hybrid,55596.0
26283,25-34 years old,Germany,Master’s degree,3.0,Hybrid,78916.0
26287,18-24 years old,Israel,Less than a Bachelors,4.0,Hybrid,107616.0
26288,35-44 years old,Switzerland,Bachelor’s degree,12.0,Hybrid,134445.0
26292,25-34 years old,"Iran, Islamic Republic of...",Bachelor’s degree,4.0,Hybrid,99288.0
26309,25-34 years old,India,Bachelor’s degree,7.0,Hybrid,77383.0
26311,25-34 years old,Netherlands,Less than a Bachelors,4.0,Remote,63986.0
26312,25-34 years old,"Iran, Islamic Republic of...",Bachelor’s degree,10.0,Person,85104.0
26313,25-34 years old,Denmark,Less than a Bachelors,10.0,Hybrid,60228.0
26316,25-34 years old,Germany,Bachelor’s degree,0.5,Hybrid,47990.0
26317,35-44 years old,Sweden,Less than a Bachelors,15.0,Remote,53628.0
26318,35-44 years old,Germany,Master’s degree,7.0,Remote,76783.0
26331,25-34 years old,Belgium,Master’s degree,7.0,Hybrid,34126.0
26333,18-24 years old,France,Master’s degree,1.0,Hybrid,35196.0
26340,25-34 years old,Poland,Bachelor’s degree,11.0,Remote,106644.0
26344,25-34 years old,Pakistan,Bachelor’s degree,6.0,Person,10476.0
26351,35-44 years old,Canada,Bachelor’s degree,11.0,Remote,93701.0
26365,35-44 years old,Germany,Master’s degree,5.0,Hybrid,74651.0
26389,35-44 years old,France,Master’s degree,6.0,Remote,40956.0
26395,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,1.0,Hybrid,111819.0
26403,25-34 years old,France,Master’s degree,5.0,Hybrid,41591.0
26408,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,0.5,Remote,45230.0
26411,25-34 years old,India,Bachelor’s degree,3.0,Remote,23215.0
26413,35-44 years old,Israel,Bachelor’s degree,10.0,Hybrid,105821.0
26414,25-34 years old,Australia,Bachelor’s degree,11.0,Hybrid,77848.0
26415,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Post grad,20.0,Hybrid,113075.0
26425,25-34 years old,Germany,Bachelor’s degree,8.0,Remote,58654.0
26432,35-44 years old,United States of America,Less than a Bachelors,22.0,Remote,110000.0
26440,35-44 years old,Israel,Bachelor’s degree,8.0,Hybrid,114792.0
26446,35-44 years old,United States of America,Master’s degree,10.0,Remote,177000.0
26448,18-24 years old,India,Bachelor’s degree,1.0,Remote,10318.0
26454,25-34 years old,Israel,Less than a Bachelors,4.0,Hybrid,93264.0
26461,35-44 years old,Australia,Bachelor’s degree,17.0,Hybrid,116772.0
26462,18-24 years old,France,Bachelor’s degree,2.0,Hybrid,24312.0
26473,18-24 years old,Italy,Bachelor’s degree,4.0,Person,31993.0
26476,25-34 years old,"Iran, Islamic Republic of...",Less than a Bachelors,10.0,Hybrid,100000.0
26478,25-34 years old,Germany,Less than a Bachelors,4.0,Hybrid,42228.0
26480,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,Remote,46487.0
26485,Over 45,Australia,Master’s degree,32.0,Hybrid,104034.0
26487,Over 45,Germany,Master’s degree,25.0,Remote,95979.0
26491,25-34 years old,United States of America,Bachelor’s degree,6.0,Remote,230000.0
26493,25-34 years old,Italy,Bachelor’s degree,1.0,Hybrid,21648.0
26496,35-44 years old,Israel,Less than a Bachelors,27.0,Hybrid,132720.0
26502,25-34 years old,Germany,Bachelor’s degree,11.0,Hybrid,76783.0
26503,25-34 years old,"Iran, Islamic Republic of...",Bachelor’s degree,8.0,Hybrid,23424.0
26506,25-34 years old,Germany,Master’s degree,3.0,Remote,95979.0
26510,35-44 years old,Germany,Master’s degree,8.0,Hybrid,83182.0
26511,35-44 years old,New Zealand,Master’s degree,22.0,Hybrid,72053.0
26512,35-44 years old,"Iran, Islamic Republic of...",Master’s degree,5.0,Hybrid,56736.0
26514,25-34 years old,Russian Federation,Bachelor’s degree,10.0,Hybrid,24936.0
26518,25-34 years old,Russian Federation,Bachelor’s degree,9.0,Remote,60000.0
26520,25-34 years old,India,Bachelor’s degree,12.0,Hybrid,51589.0
26524,Over 45,United States of America,Bachelor’s degree,33.0,Remote,225000.0
26529,25-34 years old,Israel,Less than a Bachelors,5.0,Hybrid,125544.0
26545,18-24 years old,Turkey,Bachelor’s degree,1.0,Hybrid,11274.0
26552,25-34 years old,Germany,Master’s degree,10.0,Remote,47030.0
26555,Over 45,Germany,Post grad,18.0,Hybrid,83184.0
26562,Over 45,Canada,Less than a Bachelors,6.0,Remote,81988.0
26565,25-34 years old,Australia,Bachelor’s degree,3.0,Hybrid,101203.0
26569,25-34 years old,Belgium,Master’s degree,3.0,Person,31092.0
26572,35-44 years old,India,Bachelor’s degree,17.0,Hybrid,38692.0
26574,35-44 years old,France,Bachelor’s degree,14.0,Remote,76788.0
26576,35-44 years old,United States of America,Bachelor’s degree,13.0,Remote,178000.0
26580,25-34 years old,Netherlands,Master’s degree,5.0,Remote,63984.0
26588,35-44 years old,Turkey,Less than a Bachelors,13.0,Person,27804.0
26592,25-34 years old,Brazil,Master’s degree,10.0,Remote,37392.0
26597,35-44 years old,Israel,Less than a Bachelors,12.0,Hybrid,132720.0
26601,18-24 years old,"Iran, Islamic Republic of...",Bachelor’s degree,3.0,Remote,85104.0
26604,25-34 years old,Czech Republic,Less than a Bachelors,4.0,Remote,31176.0
26605,18-24 years old,Germany,Less than a Bachelors,2.0,Hybrid,14712.0
26613,Over 45,Switzerland,Master’s degree,23.0,Hybrid,124103.0
26618,35-44 years old,United States of America,Bachelor’s degree,20.0,Remote,300000.0
26626,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,1.0,Hybrid,64076.0
26632,35-44 years old,Germany,Post grad,11.0,Hybrid,72972.0
26639,Over 45,United States of America,Bachelor’s degree,25.0,Remote,300000.0
26652,35-44 years old,United States of America,Bachelor’s degree,23.0,Person,99000.0
26660,35-44 years old,Turkey,Post grad,22.0,Hybrid,24804.0
26665,25-34 years old,Brazil,Bachelor’s degree,6.0,Remote,20520.0
26670,35-44 years old,France,Post grad,15.0,Hybrid,95979.0
26673,25-34 years old,Portugal,Less than a Bachelors,9.0,Remote,47990.0
26675,25-34 years old,India,Bachelor’s degree,8.0,Hybrid,12897.0
26683,25-34 years old,Germany,Master’s degree,15.0,Remote,78916.0
26687,25-34 years old,Germany,Post grad,4.0,Remote,74651.0
26692,35-44 years old,Israel,Less than a Bachelors,13.0,Hybrid,102948.0
26703,25-34 years old,United States of America,Master’s degree,3.0,Hybrid,120000.0
26704,25-34 years old,Netherlands,Master’s degree,2.0,Hybrid,63986.0
26705,18-24 years old,Canada,Bachelor’s degree,1.0,Remote,117126.0
26714,18-24 years old,Brazil,Less than a Bachelors,1.0,Remote,12708.0
26720,25-34 years old,Brazil,Bachelor’s degree,2.0,Remote,10802.0
26722,25-34 years old,Turkey,Bachelor’s degree,7.0,Hybrid,15036.0
26728,25-34 years old,United States of America,Bachelor’s degree,1.0,Remote,110000.0
26729,25-34 years old,Belgium,Master’s degree,6.0,Hybrid,57588.0
26731,18-24 years old,Brazil,Less than a Bachelors,4.0,Hybrid,19812.0
26733,25-34 years old,Brazil,Master’s degree,6.0,Remote,39888.0
26734,25-34 years old,Brazil,Master’s degree,2.0,Remote,49860.0
26742,25-34 years old,Brazil,Master’s degree,13.0,Remote,56063.0
26753,25-34 years old,South Africa,Bachelor’s degree,6.0,Remote,45000.0
26757,25-34 years old,Turkey,Bachelor’s degree,6.0,Hybrid,39600.0
26760,18-24 years old,"Iran, Islamic Republic of...",Master’s degree,3.0,Person,28368.0
26765,25-34 years old,"Iran, Islamic Republic of...",Master’s degree,7.0,Hybrid,73752.0
26766,25-34 years old,United States of America,Bachelor’s degree,4.0,Remote,90000.0
26768,35-44 years old,Austria,Master’s degree,14.0,Hybrid,65053.0
26769,25-34 years old,Belgium,Bachelor’s degree,5.0,Hybrid,38392.0
26770,25-34 years old,Canada,Master’s degree,10.0,Person,81207.0
26773,25-34 years old,Norway,Bachelor’s degree,0.5,Person,54964.0
26775,25-34 years old,Austria,Master’s degree,8.0,Hybrid,106644.0
26776,Over 45,Russian Federation,Master’s degree,22.0,Remote,30300.0
26777,25-34 years old,Russian Federation,Bachelor’s degree,5.0,Hybrid,51948.0
26785,25-34 years old,Czech Republic,Less than a Bachelors,6.0,Hybrid,42708.0
26792,25-34 years old,France,Master’s degree,5.0,Remote,79983.0
26794,25-34 years old,Germany,Master’s degree,14.0,Hybrid,68252.0
26799,25-34 years old,Austria,Bachelor’s degree,3.0,Hybrid,57588.0
26803,25-34 years old,Norway,Less than a Bachelors,10.0,Hybrid,58075.0
26806,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,Hybrid,69102.0
26807,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,11.0,Remote,43974.0
26811,25-34 years old,Germany,Master’s degree,13.0,Hybrid,57588.0
26812,35-44 years old,United States of America,Post grad,7.0,Remote,205000.0
26818,25-34 years old,South Africa,Bachelor’s degree,9.0,Remote,46024.0
26825,25-34 years old,United States of America,Master’s degree,3.0,Remote,140000.0
26830,25-34 years old,Germany,Less than a Bachelors,8.0,Hybrid,90007.0
26831,25-34 years old,United States of America,Bachelor’s degree,5.0,Remote,150000.0
26832,25-34 years old,United States of America,Bachelor’s degree,7.0,Hybrid,140000.0
26833,35-44 years old,Brazil,Master’s degree,18.0,Remote,83093.0
26836,25-34 years old,United States of America,Bachelor’s degree,6.0,Remote,150000.0
26838,25-34 years old,United States of America,Bachelor’s degree,7.0,Remote,180000.0
26840,25-34 years old,Sweden,Master’s degree,1.0,Remote,54852.0
26848,35-44 years old,United States of America,Bachelor’s degree,12.0,Hybrid,105000.0
26849,35-44 years old,Brazil,Master’s degree,3.0,Person,42372.0
26851,35-44 years old,United States of America,Bachelor’s degree,10.0,Hybrid,93500.0
26853,35-44 years old,Canada,Less than a Bachelors,13.0,Hybrid,76913.0
26860,35-44 years old,Finland,Bachelor’s degree,15.0,Hybrid,53322.0
26865,25-34 years old,Israel,Bachelor’s degree,5.0,Hybrid,125544.0
26869,25-34 years old,India,Bachelor’s degree,5.0,Remote,15480.0
26872,25-34 years old,"Iran, Islamic Republic of...",Master’s degree,10.0,Person,46800.0
26878,Over 45,Israel,Master’s degree,18.0,Hybrid,251100.0
26885,25-34 years old,"Iran, Islamic Republic of...",Bachelor’s degree,4.0,Hybrid,104952.0
26889,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,Person,65332.0
26894,18-24 years old,Germany,Less than a Bachelors,5.0,Person,14930.0
26907,25-34 years old,South Africa,Less than a Bachelors,5.0,Remote,15168.0
26910,25-34 years old,United States of America,Bachelor’s degree,5.0,Remote,300000.0
26912,Over 45,Germany,Less than a Bachelors,25.0,Hybrid,51192.0
26918,Over 45,United Kingdom of Great Britain and Northern Ireland,Post grad,32.0,Hybrid,169613.0
26919,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,Hybrid,70358.0
26931,35-44 years old,Spain,Bachelor’s degree,5.0,Hybrid,31993.0
26932,Over 45,Germany,Master’s degree,11.0,Hybrid,79983.0
26959,25-34 years old,Greece,Master’s degree,3.0,Hybrid,37325.0
26964,25-34 years old,Netherlands,Master’s degree,9.0,Hybrid,122640.0
26973,25-34 years old,Belgium,Master’s degree,3.0,Hybrid,30708.0
26975,25-34 years old,France,Master’s degree,8.0,Hybrid,74651.0
26983,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,Remote,62820.0
26987,Over 45,Italy,Less than a Bachelors,26.0,Hybrid,42657.0
26990,18-24 years old,United States of America,Master’s degree,0.5,Person,75000.0
26993,35-44 years old,Germany,Less than a Bachelors,14.0,Hybrid,47990.0
26996,25-34 years old,India,Bachelor’s degree,4.0,Remote,32501.0
27000,18-24 years old,Turkey,Bachelor’s degree,2.0,Remote,11280.0
27004,Over 45,Germany,Less than a Bachelors,36.0,Hybrid,63984.0
27011,35-44 years old,United States of America,Less than a Bachelors,5.0,Remote,190000.0
27012,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,16.0,Hybrid,86691.0
27014,25-34 years old,United States of America,Bachelor’s degree,10.0,Hybrid,70000.0
27016,25-34 years old,Germany,Less than a Bachelors,3.0,Hybrid,31992.0
27018,25-34 years old,India,Bachelor’s degree,3.0,Remote,18056.0
27026,18-24 years old,Brazil,Bachelor’s degree,3.0,Remote,13716.0
27030,25-34 years old,Belgium,Bachelor’s degree,3.0,Hybrid,27516.0
27034,25-34 years old,Sweden,Master’s degree,3.0,Hybrid,48758.0
27036,25-34 years old,United States of America,Less than a Bachelors,7.0,Hybrid,70000.0
27037,25-34 years old,Germany,Master’s degree,4.0,Hybrid,34548.0
27043,35-44 years old,Italy,Bachelor’s degree,9.0,Hybrid,53322.0
27045,25-34 years old,United States of America,Bachelor’s degree,10.0,Remote,285000.0
27048,25-34 years old,Brazil,Bachelor’s degree,3.0,Remote,19944.0
27055,25-34 years old,Sweden,Master’s degree,2.0,Hybrid,56076.0
27061,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,Remote,87948.0
27062,25-34 years old,Israel,Master’s degree,5.0,Hybrid,179352.0
27067,25-34 years old,Brazil,Less than a Bachelors,7.0,Remote,62316.0
27069,25-34 years old,Canada,Master’s degree,4.0,Hybrid,58563.0
27079,35-44 years old,Germany,Master’s degree,11.0,Remote,106644.0
27094,Over 45,Russian Federation,Bachelor’s degree,8.0,Remote,50000.0
27098,Over 45,United States of America,Bachelor’s degree,3.0,Remote,70000.0
27100,Over 45,Canada,Bachelor’s degree,23.0,Hybrid,99167.0
27101,25-34 years old,India,Bachelor’s degree,4.0,Remote,18572.0
27103,25-34 years old,Israel,Bachelor’s degree,10.0,Hybrid,114792.0
27107,Over 45,Brazil,Bachelor’s degree,37.0,Remote,37392.0
27114,Over 45,Canada,Less than a Bachelors,28.0,Remote,109318.0
27121,25-34 years old,United States of America,Bachelor’s degree,9.0,Hybrid,210000.0
27125,25-34 years old,Turkey,Master’s degree,9.0,Remote,12527.0
27127,25-34 years old,India,Bachelor’s degree,4.0,Remote,41271.0
27129,25-34 years old,United States of America,Bachelor’s degree,4.0,Hybrid,138000.0
27130,35-44 years old,Germany,Less than a Bachelors,4.0,Remote,63986.0
27138,35-44 years old,United States of America,Bachelor’s degree,14.0,Hybrid,100000.0
27145,25-34 years old,India,Bachelor’s degree,3.0,Hybrid,11607.0
27146,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,5.0,Hybrid,46487.0
27147,18-24 years old,Spain,Bachelor’s degree,1.0,Hybrid,31993.0
27150,25-34 years old,United States of America,Bachelor’s degree,6.0,Hybrid,110000.0
27153,25-34 years old,Israel,Bachelor’s degree,10.0,Hybrid,179352.0
27161,Over 45,United States of America,Master’s degree,29.0,Remote,180000.0
27176,Over 45,Norway,Less than a Bachelors,20.0,Hybrid,60149.0
27182,35-44 years old,Germany,Master’s degree,17.0,Hybrid,95979.0
27192,25-34 years old,"Iran, Islamic Republic of...",Less than a Bachelors,9.0,Remote,56736.0
27200,35-44 years old,United States of America,Post grad,2.0,Remote,170000.0
27203,18-24 years old,India,Bachelor’s degree,2.0,Hybrid,15480.0
27209,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,1.0,Remote,50256.0
27211,25-34 years old,India,Bachelor’s degree,4.0,Person,28374.0
27215,25-34 years old,Poland,Bachelor’s degree,7.0,Remote,79920.0
27224,25-34 years old,Greece,Master’s degree,2.0,Hybrid,26874.0
27225,Over 45,United States of America,Bachelor’s degree,16.0,Remote,83000.0
27227,25-34 years old,Brazil,Bachelor’s degree,3.0,Remote,24924.0
27234,35-44 years old,United States of America,Post grad,4.0,Person,220000.0
27237,25-34 years old,Belgium,Bachelor’s degree,6.0,Hybrid,53748.0
27239,18-24 years old,United States of America,Less than a Bachelors,2.0,Hybrid,120000.0
27243,25-34 years old,Belgium,Bachelor’s degree,8.0,Hybrid,54388.0
27244,Over 45,United States of America,Bachelor’s degree,18.0,Hybrid,130000.0
27260,35-44 years old,United States of America,Less than a Bachelors,20.0,Remote,230000.0
27261,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Post grad,10.0,Hybrid,79153.0
27273,Over 45,Denmark,Bachelor’s degree,15.0,Person,96360.0
27289,35-44 years old,Sweden,Bachelor’s degree,4.0,Hybrid,51684.0
27290,25-34 years old,India,Bachelor’s degree,12.0,Hybrid,29400.0
27301,25-34 years old,Germany,Master’s degree,5.0,Hybrid,58872.0
27308,25-34 years old,Germany,Less than a Bachelors,6.0,Remote,58654.0
27310,18-24 years old,India,Bachelor’s degree,3.0,Hybrid,19498.0
27312,35-44 years old,Russian Federation,Post grad,9.0,Remote,76884.0
27327,18-24 years old,Austria,Less than a Bachelors,3.0,Remote,35196.0
27328,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,1.0,Remote,32666.0
27329,35-44 years old,Sweden,Post grad,18.0,Hybrid,67044.0
27330,25-34 years old,United States of America,Bachelor’s degree,9.0,Hybrid,200000.0
27334,18-24 years old,Germany,Less than a Bachelors,2.0,Hybrid,51192.0
27335,35-44 years old,United States of America,Less than a Bachelors,11.0,Hybrid,139000.0
27339,18-24 years old,Canada,Less than a Bachelors,0.5,Remote,33576.0
27344,35-44 years old,United States of America,Master’s degree,17.0,Hybrid,225000.0
27349,35-44 years old,Germany,Less than a Bachelors,12.0,Hybrid,74651.0
27351,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,Hybrid,219869.0
27352,35-44 years old,Switzerland,Less than a Bachelors,12.0,Hybrid,101351.0
27353,18-24 years old,Belgium,Master’s degree,2.0,Hybrid,35832.0
27359,Over 45,United Kingdom of Great Britain and Northern Ireland,Post grad,22.0,Hybrid,87948.0
27363,35-44 years old,United States of America,Bachelor’s degree,20.0,Hybrid,140000.0
27371,18-24 years old,Poland,Less than a Bachelors,1.0,Hybrid,16656.0
27374,35-44 years old,Belgium,Bachelor’s degree,18.0,Person,63984.0
27378,18-24 years old,Brazil,Less than a Bachelors,3.0,Remote,24924.0
27392,25-34 years old,Poland,Master’s degree,5.0,Hybrid,20808.0
27403,25-34 years old,India,Master’s degree,10.0,Person,94150.0
27407,35-44 years old,France,Bachelor’s degree,4.0,Hybrid,31993.0
27410,35-44 years old,Sweden,Bachelor’s degree,11.0,Hybrid,113544.0
27417,35-44 years old,Brazil,Master’s degree,16.0,Person,37392.0
27419,35-44 years old,Brazil,Master’s degree,8.0,Person,27468.0
27422,35-44 years old,United States of America,Bachelor’s degree,28.0,Remote,154000.0
27428,25-34 years old,Switzerland,Post grad,2.0,Person,99288.0
27435,25-34 years old,United States of America,Bachelor’s degree,8.0,Remote,250000.0
27436,18-24 years old,United States of America,Bachelor’s degree,2.0,Remote,68000.0
27445,25-34 years old,India,Bachelor’s degree,4.0,Remote,14856.0
27446,18-24 years old,"Iran, Islamic Republic of...",Bachelor’s degree,2.0,Remote,42552.0
27450,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,Hybrid,251279.0
27453,35-44 years old,Canada,Bachelor’s degree,8.0,Remote,132743.0
27465,25-34 years old,Turkey,Master’s degree,9.0,Remote,25632.0
27467,18-24 years old,United States of America,Less than a Bachelors,1.0,Hybrid,62400.0
27472,35-44 years old,New Zealand,Master’s degree,16.0,Remote,80417.0
27493,35-44 years old,Canada,Bachelor’s degree,22.0,Remote,100729.0
27496,Over 45,Russian Federation,Post grad,25.0,Person,41556.0
27499,25-34 years old,Brazil,Master’s degree,15.0,Remote,184315.0
27501,25-34 years old,United States of America,Bachelor’s degree,3.0,Hybrid,160000.0
27503,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,12.0,Remote,150767.0
27509,25-34 years old,Germany,Master’s degree,5.0,Hybrid,70336.0
27512,35-44 years old,Sweden,Less than a Bachelors,14.0,Hybrid,53028.0
27518,35-44 years old,Switzerland,Less than a Bachelors,16.0,Hybrid,103213.0
27519,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,Hybrid,37692.0
27531,25-34 years old,Sweden,Less than a Bachelors,6.0,Hybrid,56076.0
27534,Over 45,Canada,Less than a Bachelors,6.0,Hybrid,121030.0
27536,18-24 years old,Portugal,Master’s degree,1.0,Hybrid,14076.0
27539,18-24 years old,United States of America,Bachelor’s degree,1.0,Hybrid,75000.0
27547,Over 45,United Kingdom of Great Britain and Northern Ireland,Master’s degree,30.0,Remote,87948.0
27556,25-34 years old,India,Bachelor’s degree,6.0,Hybrid,36112.0
27562,25-34 years old,United States of America,Bachelor’s degree,3.0,Remote,120750.0
27568,25-34 years old,Brazil,Bachelor’s degree,8.0,Remote,62316.0
27578,25-34 years old,New Zealand,Bachelor’s degree,10.0,Hybrid,64333.0
27586,25-34 years old,Canada,Bachelor’s degree,3.0,Hybrid,85893.0
27597,25-34 years old,Brazil,Less than a Bachelors,7.0,Remote,31164.0
27599,25-34 years old,United States of America,Less than a Bachelors,0.5,Remote,50000.0
27601,35-44 years old,United States of America,Post grad,8.0,Person,117500.0
27609,Over 45,Germany,Master’s degree,24.0,Hybrid,93846.0
27612,35-44 years old,United States of America,Bachelor’s degree,24.0,Remote,290000.0
27617,25-34 years old,United States of America,Less than a Bachelors,6.0,Person,70000.0
27619,25-34 years old,Russian Federation,Post grad,8.0,Remote,58188.0
27622,35-44 years old,Greece,Bachelor’s degree,2.0,Hybrid,13824.0
27626,35-44 years old,Canada,Less than a Bachelors,12.0,Hybrid,74180.0
27628,35-44 years old,United States of America,Less than a Bachelors,6.0,Remote,75000.0
27633,25-34 years old,Canada,Bachelor’s degree,3.0,Remote,59344.0
27643,35-44 years old,Brazil,Bachelor’s degree,14.0,Remote,17448.0
27650,Over 45,Australia,Master’s degree,20.0,Hybrid,99080.0
27655,Over 45,United States of America,Bachelor’s degree,24.0,Hybrid,300000.0
27661,25-34 years old,United States of America,Bachelor’s degree,8.0,Remote,200000.0
27668,65 years or older,Australia,Bachelor’s degree,40.0,Hybrid,85633.0
27671,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,Remote,45858.0
27672,25-34 years old,United States of America,Less than a Bachelors,12.0,Remote,200000.0
27677,25-34 years old,Australia,Bachelor’s degree,5.0,Person,42463.0
27687,25-34 years old,Canada,Master’s degree,6.0,Remote,185059.0
27693,18-24 years old,United States of America,Bachelor’s degree,6.0,Hybrid,160000.0
27694,35-44 years old,United States of America,Bachelor’s degree,15.0,Remote,143000.0
27695,35-44 years old,United States of America,Bachelor’s degree,19.0,Remote,250000.0
27698,Over 45,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,10.0,Remote,56538.0
27702,18-24 years old,Australia,Bachelor’s degree,2.0,Hybrid,54494.0
27703,25-34 years old,United States of America,Master’s degree,2.0,Remote,145000.0
27716,35-44 years old,United States of America,Bachelor’s degree,18.0,Remote,116000.0
27721,35-44 years old,Germany,Post grad,22.0,Hybrid,95979.0
27725,25-34 years old,Canada,Less than a Bachelors,4.0,Hybrid,103071.0
27727,35-44 years old,United States of America,Post grad,5.0,Remote,247500.0
27728,18-24 years old,Australia,Bachelor’s degree,4.0,Hybrid,106157.0
